1531561466,116.510291,39.893400,36.716850,0.0035,16,16,0.788
1531561469,116.510248,39.893370,36.662693,0.0049,3,19,5.876
1531561487,116.510283,39.893401,36.656925,0.0046,18,37,0.910
1531609944,116.510384,39.893545,35.398403,0.0182,48457,48478,0.001
1531609957,116.510397,39.893509,35.508755,0.0041,13,48491,1.141
1531609959,116.510458,39.893463,36.205593,0.0074,2,48493,13.236
1531609964,116.510511,39.893461,36.717007,0.0045,5,48498,3.233
1531610003,116.510525,39.893461,34.852627,0.0012,39,48537,0.107
1531610019,116.510514,39.893474,34.175137,0.0017,16,48553,0.387
1531610021,116.510506,39.893485,34.127590,0.0014,2,48555,2.500
1531610023,116.510506,39.893498,34.146267,0.0014,2,48557,2.604
1531610029,116.510493,39.893508,35.216091,0.0016,6,48563,0.939
1531610032,116.510481,39.893518,35.977322,0.0015,3,48566,1.753
1531610036,116.510490,39.893529,36.462124,0.0015,4,48570,1.336
1531610038,116.510502,39.893533,36.619350,0.0011,2,48572,2.045
1531610040,116.510513,39.893537,36.693203,0.0011,2,48574,1.896
1531610062,116.510493,39.893564,35.985806,0.0034,22,48596,0.561
1531610069,116.510480,39.893567,36.492947,0.0012,7,48603,0.609
1531610077,116.510472,39.893581,36.461941,0.0017,8,48611,0.753
1531610081,116.510482,39.893573,36.891140,0.0013,4,48615,1.137
1531610083,116.510487,39.893558,37.102383,0.0018,2,48617,3.163
1531610085,116.510486,39.893539,37.054897,0.0021,2,48619,3.823
1531610088,116.510486,39.893529,37.197109,0.0011,3,48622,1.275
1531610122,116.510449,39.893492,37.454800,0.0052,34,48656,0.552
1531610128,116.510409,39.893458,37.456387,0.0051,6,48662,3.038
1531610167,116.510437,39.893465,37.471157,0.0025,39,48701,0.235
1531610169,116.510443,39.893490,37.791897,0.0029,2,48703,5.171
1531610263,116.510442,39.893542,37.868740,0.0058,94,48797,0.220
1531610353,116.510441,39.893566,37.059414,0.0026,90,48887,0.105
1531610355,116.510450,39.893558,36.766262,0.0012,2,48889,2.089
1531610358,116.510436,39.893566,36.158596,0.0015,3,48892,1.782
1531610361,116.510449,39.893568,35.206997,0.0012,3,48895,1.401
1531610363,116.510442,39.893582,34.597988,0.0017,2,48897,3.042
1531610385,116.510463,39.893566,35.359524,0.0025,22,48919,0.415
1531610387,116.510490,39.893541,35.844021,0.0036,2,48921,6.490
1531610390,116.510524,39.893531,35.286953,0.0031,3,48924,3.698
1531610392,116.510550,39.893529,35.396694,0.0022,2,48926,4.034
1531610395,116.510556,39.893519,35.291042,0.0012,3,48929,1.489
1531610421,116.510535,39.893530,31.692837,0.0022,26,48955,0.299
1531610423,116.510527,39.893542,32.359035,0.0015,2,48957,2.636
1531610542,116.510528,39.893569,31.762966,0.0030,119,49076,0.089
1531610549,116.510552,39.893564,33.269497,0.0021,7,49083,1.079
1531610553,116.510532,39.893566,33.350674,0.0018,4,49087,1.575
1531610555,116.510520,39.893559,33.202297,0.0013,2,49089,2.345
1531610560,116.510499,39.893567,34.848232,0.0021,5,49094,1.480
1531610562,116.510473,39.893577,35.074368,0.0024,2,49096,4.391
1531610564,116.510448,39.893587,35.169827,0.0024,2,49098,4.375
1531610566,116.510440,39.893597,35.341763,0.0013,2,49100,2.420
1531610568,116.510429,39.893608,35.070339,0.0015,2,49102,2.751
1531610670,116.510415,39.893589,33.112514,0.0024,102,49204,0.085
1531610673,116.510397,39.893597,33.357449,0.0018,3,49207,2.163
1531610715,116.510399,39.893611,31.550930,0.0016,42,49249,0.138
1531610718,116.510390,39.893604,32.435452,0.0011,3,49252,1.317
1531610724,116.510401,39.893600,34.034512,0.0010,6,49258,0.613
1531610790,116.510395,39.893580,33.944790,0.0023,66,49324,0.124
1531610794,116.510401,39.893566,33.427090,0.0016,4,49328,1.455
1531610797,116.510387,39.893570,33.323574,0.0013,3,49331,1.594
1531610800,116.510390,39.893590,34.540554,0.0022,3,49334,2.642
1531610802,116.510379,39.893609,34.450710,0.0023,2,49336,4.091
1531610852,116.510393,39.893597,32.845608,0.0018,50,49386,0.132
1531610855,116.510374,39.893608,32.699490,0.0020,3,49389,2.421
1531610859,116.510378,39.893588,34.502102,0.0022,4,49393,1.991
1531610862,116.510413,39.893593,34.820217,0.0030,3,49396,3.600
1531610864,116.510449,39.893598,34.889004,0.0032,2,49398,5.712
1531610866,116.510461,39.893585,35.312832,0.0018,2,49400,3.170
1531610868,116.510453,39.893572,35.702908,0.0016,2,49402,2.903
1531610870,116.510403,39.893561,35.227016,0.0044,2,49404,7.961
1531610926,116.510386,39.893549,33.321560,0.0019,56,49460,0.124
1531610929,116.510396,39.893537,33.419827,0.0016,3,49463,1.914
1531610931,116.510389,39.893518,34.180752,0.0022,2,49465,3.891
1531610952,116.510415,39.893491,34.338650,0.0037,21,49486,0.640
1531610954,116.510438,39.893488,35.368496,0.0019,2,49488,3.503
1531610958,116.510428,39.893497,35.114101,0.0014,4,49492,1.230
1531610960,116.510381,39.893540,34.165615,0.0063,2,49494,11.306
1531610962,116.510367,39.893557,34.935635,0.0023,2,49496,4.117
1531610966,116.510372,39.893577,35.393093,0.0022,4,49500,2.010
1531610970,116.510383,39.893581,35.085842,0.0011,4,49504,0.950
1531610973,116.510397,39.893565,35.005032,0.0022,3,49507,2.582
1531610989,116.510375,39.893590,37.160915,0.0033,16,49523,0.750
1531611119,116.510371,39.893544,37.089138,0.0051,130,49653,0.142
1531611121,116.510356,39.893542,37.207729,0.0013,2,49655,2.307
1531611123,116.510301,39.893542,37.696560,0.0047,2,49657,8.481
